kind,run_folder,case_label,total,correct,wrong,accuracy_pct,wrong_pct
RUN_CASE,run-1-llama,noisy_text[typo] + full_diagram,90,17,73,18.889,81.111
RUN_CASE,run-1-llama,full_text + noisy_diagram[bg_change],90,17,73,18.889,81.111
RUN_CASE,run-1-llama,full_text + noisy_diagram[blur],90,25,65,27.778,72.222
RUN_CASE,run-1-llama,full_text + noisy_diagram[illumination],90,18,72,20.0,80.0
RUN_CASE,run-1-llama,full_text + noisy_diagram[irr_objects],90,18,72,20.0,80.0
RUN_CASE,run-1-llama,full_text + noisy_diagram[pixel_noise],90,19,71,21.111,78.889
RUN_CASE,run-1-llama,noisy_half_text[numeric] + half_diagram,90,17,73,18.889,81.111
RUN_CASE,run-1-llama,noisy_half_text[punctuation] + half_diagram,90,17,73,18.889,81.111
RUN_CASE,run-1-llama,noisy_half_text[sentence] + half_diagram,90,15,75,16.667,83.333
RUN_CASE,run-1-llama,noisy_half_text[typo] + half_diagram,90,14,76,15.556,84.444
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[bg_change],90,13,77,14.444,85.556
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[blur],90,14,76,15.556,84.444
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[illumination],90,22,68,24.444,75.556
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[irr_objects],90,21,69,23.333,76.667
RUN_CASE,run-1-llama,half_text + noisy_half_diagram[pixel_noise],90,17,73,18.889,81.111
RUN_CASE,run-1-mistral,full_text + full_diagram,90,15,75,16.667,83.333
RUN_CASE,run-1-mistral,half_text + half_diagram,90,17,73,18.889,81.111
RUN_CASE,run-1-mistral,noisy_text[numeric] + full_diagram,90,10,80,11.111,88.889
RUN_CASE,run-1-mistral,noisy_text[punctuation] + full_diagram,90,17,73,18.889,81.111
RUN_CASE,run-1-mistral,noisy_text[sentence] + full_diagram,90,14,76,15.556,84.444
RUN_CASE,run-1-mistral,noisy_text[typo] + full_diagram,90,15,75,16.667,83.333
RUN_CASE,run-1-mistral,full_text + noisy_diagram[bg_change],90,13,77,14.444,85.556
RUN_CASE,run-1-mistral,full_text + noisy_diagram[blur],90,14,76,15.556,84.444
RUN_CASE,run-1-mistral,full_text + noisy_diagram[illumination],90,15,75,16.667,83.333
RUN_CASE,run-1-mistral,full_text + noisy_diagram[irr_objects],90,13,77,14.444,85.556
RUN_CASE,run-1-mistral,full_text + noisy_diagram[pixel_noise],90,16,74,17.778,82.222
RUN_CASE,run-1-mistral,noisy_half_text[numeric] + half_diagram,90,15,75,16.667,83.333
RUN_CASE,run-1-mistral,noisy_half_text[punctuation] + half_diagram,90,12,78,13.333,86.667
RUN_CASE,run-1-mistral,noisy_half_text[sentence] + half_diagram,90,16,74,17.778,82.222
RUN_CASE,run-1-mistral,noisy_half_text[typo] + half_diagram,90,16,74,17.778,82.222
RUN_CASE,run-1-mistral,half_text + noisy_half_diagram[bg_change],90,14,76,15.556,84.444
RUN_CASE,run-1-mistral,half_text + noisy_half_diagram[blur],90,12,78,13.333,86.667
RUN_CASE,run-1-mistral,half_text + noisy_half_diagram[illumination],90,13,77,14.444,85.556
RUN_CASE,run-1-mistral,half_text + noisy_half_diagram[irr_objects],90,13,77,14.444,85.556
RUN_CASE,run-1-mistral,half_text + noisy_half_diagram[pixel_noise],90,13,77,14.444,85.556
RUN_CASE,run-2-gemma,full_text + full_diagram,90,7,83,7.778,92.222
RUN_CASE,run-2-gemma,half_text + half_diagram,90,1,89,1.111,98.889
RUN_CASE,run-2-gemma,noisy_text[numeric] + full_diagram,90,3,87,3.333,96.667
RUN_CASE,run-2-gemma,noisy_text[punctuation] + full_diagram,90,6,84,6.667,93.333
RUN_CASE,run-2-gemma,noisy_text[sentence] + full_diagram,90,3,87,3.333,96.667
RUN_CASE,run-2-gemma,noisy_text[typo] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,run-2-gemma,full_text + noisy_diagram[bg_change],90,4,86,4.444,95.556
RUN_CASE,run-2-gemma,full_text + noisy_diagram[blur],90,5,85,5.556,94.444
RUN_CASE,run-2-gemma,full_text + noisy_diagram[illumination],90,5,85,5.556,94.444
RUN_CASE,run-2-gemma,full_text + noisy_diagram[irr_objects],90,3,87,3.333,96.667
RUN_CASE,run-2-gemma,full_text + noisy_diagram[pixel_noise],90,4,86,4.444,95.556
RUN_CASE,run-2-gemma,noisy_half_text[numeric] + half_diagram,90,2,88,2.222,97.778
RUN_CASE,run-2-gemma,noisy_half_text[punctuation] + half_diagram,90,3,87,3.333,96.667
RUN_CASE,run-2-gemma,noisy_half_text[sentence] + half_diagram,90,3,87,3.333,96.667
RUN_CASE,run-2-gemma,noisy_half_text[typo] + half_diagram,90,2,88,2.222,97.778
RUN_CASE,run-2-gemma,half_text + noisy_half_diagram[bg_change],90,4,86,4.444,95.556
RUN_CASE,run-2-gemma,half_text + noisy_half_diagram[blur],90,1,89,1.111,98.889
RUN_CASE,run-2-gemma,half_text + noisy_half_diagram[illumination],90,2,88,2.222,97.778
RUN_CASE,run-2-gemma,half_text + noisy_half_diagram[irr_objects],90,4,86,4.444,95.556
RUN_CASE,run-2-gemma,half_text + noisy_half_diagram[pixel_noise],90,4,86,4.444,95.556
RUN_CASE,run-2-llama,full_text + full_diagram,90,24,66,26.667,73.333
RUN_CASE,run-2-llama,half_text + half_diagram,90,18,72,20.0,80.0
RUN_CASE,run-2-llama,noisy_text[numeric] + full_diagram,90,17,73,18.889,81.111
RUN_CASE,run-2-llama,noisy_text[punctuation] + full_diagram,90,18,72,20.0,80.0
RUN_CASE,run-2-llama,noisy_text[sentence] + full_diagram,90,18,72,20.0,80.0
RUN_CASE,run-2-llama,noisy_text[typo] + full_diagram,90,16,74,17.778,82.222
RUN_CASE,run-2-llama,full_text + noisy_diagram[bg_change],90,22,68,24.444,75.556
RUN_CASE,run-2-llama,full_text + noisy_diagram[blur],90,20,70,22.222,77.778
RUN_CASE,run-2-llama,full_text + noisy_diagram[illumination],90,24,66,26.667,73.333
RUN_CASE,run-2-llama,full_text + noisy_diagram[irr_objects],90,18,72,20.0,80.0
RUN_CASE,run-2-llama,full_text + noisy_diagram[pixel_noise],90,21,69,23.333,76.667
RUN_CASE,run-2-llama,noisy_half_text[numeric] + half_diagram,90,22,68,24.444,75.556
RUN_CASE,run-2-llama,noisy_half_text[punctuation] + half_diagram,90,27,63,30.0,70.0
RUN_CASE,run-2-llama,noisy_half_text[sentence] + half_diagram,90,19,71,21.111,78.889
RUN_CASE,run-2-llama,noisy_half_text[typo] + half_diagram,90,16,74,17.778,82.222
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[bg_change],90,19,71,21.111,78.889
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[blur],90,13,77,14.444,85.556
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[illumination],90,24,66,26.667,73.333
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[irr_objects],90,19,71,21.111,78.889
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[pixel_noise],90,19,71,21.111,78.889
RUN_CASE,run-2-mistral,full_text + full_diagram,90,16,74,17.778,82.222
RUN_CASE,run-2-mistral,half_text + half_diagram,90,14,76,15.556,84.444
RUN_CASE,run-2-mistral,noisy_text[numeric] + full_diagram,90,13,77,14.444,85.556
RUN_CASE,run-2-mistral,noisy_text[punctuation] + full_diagram,90,14,76,15.556,84.444
RUN_CASE,run-2-mistral,noisy_text[sentence] + full_diagram,90,20,70,22.222,77.778
RUN_CASE,run-2-mistral,noisy_text[typo] + full_diagram,90,13,77,14.444,85.556
RUN_CASE,run-2-mistral,full_text + noisy_diagram[bg_change],90,11,79,12.222,87.778
RUN_CASE,run-2-mistral,full_text + noisy_diagram[blur],90,15,75,16.667,83.333
RUN_CASE,run-2-mistral,full_text + noisy_diagram[illumination],90,14,76,15.556,84.444
RUN_CASE,run-2-mistral,full_text + noisy_diagram[irr_objects],90,14,76,15.556,84.444
RUN_CASE,run-2-mistral,full_text + noisy_diagram[pixel_noise],90,13,77,14.444,85.556
RUN_CASE,run-2-mistral,noisy_half_text[numeric] + half_diagram,90,13,77,14.444,85.556
RUN_CASE,run-2-mistral,noisy_half_text[punctuation] + half_diagram,90,18,72,20.0,80.0
RUN_CASE,run-2-mistral,noisy_half_text[sentence] + half_diagram,90,12,78,13.333,86.667
RUN_CASE,run-2-mistral,noisy_half_text[typo] + half_diagram,90,12,78,13.333,86.667
RUN_CASE,run-2-mistral,half_text + noisy_half_diagram[bg_change],90,13,77,14.444,85.556
RUN_CASE,run-2-mistral,half_text + noisy_half_diagram[blur],90,14,76,15.556,84.444
RUN_CASE,run-2-mistral,half_text + noisy_half_diagram[illumination],90,14,76,15.556,84.444
RUN_CASE,run-2-mistral,half_text + noisy_half_diagram[irr_objects],90,13,77,14.444,85.556
RUN_CASE,run-2-mistral,half_text + noisy_half_diagram[pixel_noise],90,9,81,10.0,90.0
RUN_CASE,run-3-gemma,full_text + full_diagram,90,5,85,5.556,94.444
RUN_CASE,run-3-gemma,half_text + half_diagram,90,4,86,4.444,95.556
RUN_CASE,run-3-gemma,noisy_text[numeric] + full_diagram,90,4,86,4.444,95.556
RUN_CASE,run-3-gemma,noisy_text[punctuation] + full_diagram,90,2,88,2.222,97.778
RUN_CASE,run-3-gemma,noisy_text[sentence] + full_diagram,90,3,87,3.333,96.667
RUN_CASE,run-3-gemma,noisy_text[typo] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,run-3-gemma,full_text + noisy_diagram[bg_change],90,3,87,3.333,96.667
RUN_CASE,run-3-gemma,full_text + noisy_diagram[blur],90,4,86,4.444,95.556
RUN_CASE,run-3-gemma,full_text + noisy_diagram[illumination],90,7,83,7.778,92.222
RUN_CASE,run-3-gemma,full_text + noisy_diagram[irr_objects],90,5,85,5.556,94.444
RUN_CASE,run-3-gemma,full_text + noisy_diagram[pixel_noise],90,5,85,5.556,94.444
RUN_CASE,run-3-gemma,noisy_half_text[numeric] + half_diagram,90,4,86,4.444,95.556
RUN_CASE,run-3-gemma,noisy_half_text[punctuation] + half_diagram,90,2,88,2.222,97.778
RUN_CASE,run-3-gemma,noisy_half_text[sentence] + half_diagram,90,6,84,6.667,93.333
RUN_CASE,run-3-gemma,noisy_half_text[typo] + half_diagram,90,2,88,2.222,97.778
RUN_CASE,run-3-gemma,half_text + noisy_half_diagram[bg_change],90,3,87,3.333,96.667
RUN_CASE,run-3-gemma,half_text + noisy_half_diagram[blur],90,1,89,1.111,98.889
RUN_CASE,run-3-gemma,half_text + noisy_half_diagram[illumination],90,3,87,3.333,96.667
RUN_CASE,run-3-gemma,half_text + noisy_half_diagram[irr_objects],90,3,87,3.333,96.667
RUN_CASE,run-3-gemma,half_text + noisy_half_diagram[pixel_noise],90,4,86,4.444,95.556
RUN_CASE,run-3-llama,full_text + full_diagram,90,21,69,23.333,76.667
RUN_CASE,run-3-llama,half_text + half_diagram,90,16,74,17.778,82.222
RUN_CASE,run-3-llama,noisy_text[numeric] + full_diagram,90,22,68,24.444,75.556
RUN_CASE,run-3-llama,noisy_text[punctuation] + full_diagram,90,20,70,22.222,77.778
RUN_CASE,run-3-llama,noisy_text[sentence] + full_diagram,90,21,69,23.333,76.667
RUN_CASE,run-3-llama,noisy_text[typo] + full_diagram,90,16,74,17.778,82.222
RUN_CASE,run-3-llama,full_text + noisy_diagram[bg_change],90,18,72,20.0,80.0
RUN_CASE,run-3-llama,full_text + noisy_diagram[blur],90,21,69,23.333,76.667
RUN_CASE,run-3-llama,full_text + noisy_diagram[illumination],90,15,75,16.667,83.333
RUN_CASE,run-3-llama,full_text + noisy_diagram[irr_objects],90,14,76,15.556,84.444
RUN_CASE,run-3-llama,full_text + noisy_diagram[pixel_noise],90,23,67,25.556,74.444
RUN_CASE,run-3-llama,noisy_half_text[numeric] + half_diagram,90,18,72,20.0,80.0
RUN_CASE,run-3-llama,noisy_half_text[punctuation] + half_diagram,90,17,73,18.889,81.111
RUN_CASE,run-3-llama,noisy_half_text[sentence] + half_diagram,90,17,73,18.889,81.111
RUN_CASE,run-3-llama,noisy_half_text[typo] + half_diagram,90,16,74,17.778,82.222
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[bg_change],90,16,74,17.778,82.222
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[blur],90,18,72,20.0,80.0
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[illumination],90,20,70,22.222,77.778
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[irr_objects],90,18,72,20.0,80.0
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[pixel_noise],90,22,68,24.444,75.556
RUN_CASE,run-3-mistral,full_text + full_diagram,90,16,74,17.778,82.222
RUN_CASE,run-3-mistral,half_text + half_diagram,90,17,73,18.889,81.111
RUN_CASE,run-3-mistral,noisy_text[numeric] + full_diagram,90,12,78,13.333,86.667
RUN_CASE,run-3-mistral,noisy_text[punctuation] + full_diagram,90,12,78,13.333,86.667
RUN_CASE,run-3-mistral,noisy_text[sentence] + full_diagram,90,16,74,17.778,82.222
RUN_CASE,run-3-mistral,noisy_text[typo] + full_diagram,90,13,77,14.444,85.556
RUN_CASE,run-3-mistral,full_text + noisy_diagram[bg_change],90,12,78,13.333,86.667
RUN_CASE,run-3-mistral,full_text + noisy_diagram[blur],90,15,75,16.667,83.333
RUN_CASE,run-3-mistral,full_text + noisy_diagram[illumination],90,12,78,13.333,86.667
RUN_CASE,run-3-mistral,full_text + noisy_diagram[irr_objects],90,15,75,16.667,83.333
RUN_CASE,run-3-mistral,full_text + noisy_diagram[pixel_noise],90,11,79,12.222,87.778
RUN_CASE,run-3-mistral,noisy_half_text[numeric] + half_diagram,90,11,79,12.222,87.778
RUN_CASE,run-3-mistral,noisy_half_text[punctuation] + half_diagram,90,15,75,16.667,83.333
RUN_CASE,run-3-mistral,noisy_half_text[sentence] + half_diagram,90,12,78,13.333,86.667
RUN_CASE,run-3-mistral,noisy_half_text[typo] + half_diagram,90,13,77,14.444,85.556
RUN_CASE,run-3-mistral,half_text + noisy_half_diagram[bg_change],90,13,77,14.444,85.556
RUN_CASE,run-3-mistral,half_text + noisy_half_diagram[blur],90,14,76,15.556,84.444
RUN_CASE,run-3-mistral,half_text + noisy_half_diagram[illumination],90,13,77,14.444,85.556
RUN_CASE,run-3-mistral,half_text + noisy_half_diagram[irr_objects],90,14,76,15.556,84.444
RUN_CASE,run-3-mistral,half_text + noisy_half_diagram[pixel_noise],90,14,76,15.556,84.444
CASE_ALL_RUNS,,full_text + full_diagram,810,131,679,16.173,83.827
CASE_ALL_RUNS,,half_text + half_diagram,810,103,707,12.716,87.284
CASE_ALL_RUNS,,noisy_text[numeric] + full_diagram,810,108,702,13.333,86.667
CASE_ALL_RUNS,,noisy_text[punctuation] + full_diagram,810,113,697,13.951,86.049
CASE_ALL_RUNS,,noisy_text[sentence] + full_diagram,810,118,692,14.568,85.432
CASE_ALL_RUNS,,noisy_text[typo] + full_diagram,810,104,706,12.84,87.16
CASE_ALL_RUNS,,full_text + noisy_diagram[bg_change],810,110,700,13.58,86.42
CASE_ALL_RUNS,,full_text + noisy_diagram[blur],810,127,683,15.679,84.321
CASE_ALL_RUNS,,full_text + noisy_diagram[illumination],810,116,694,14.321,85.679
CASE_ALL_RUNS,,full_text + noisy_diagram[irr_objects],810,107,703,13.21,86.79
CASE_ALL_RUNS,,full_text + noisy_diagram[pixel_noise],810,116,694,14.321,85.679
CASE_ALL_RUNS,,noisy_half_text[numeric] + half_diagram,810,103,707,12.716,87.284
CASE_ALL_RUNS,,noisy_half_text[punctuation] + half_diagram,810,113,697,13.951,86.049
CASE_ALL_RUNS,,noisy_half_text[sentence] + half_diagram,810,106,704,13.086,86.914
CASE_ALL_RUNS,,noisy_half_text[typo] + half_diagram,810,94,716,11.605,88.395
CASE_ALL_RUNS,,half_text + noisy_half_diagram[bg_change],810,99,711,12.222,87.778
CASE_ALL_RUNS,,half_text + noisy_half_diagram[blur],810,89,721,10.988,89.012
CASE_ALL_RUNS,,half_text + noisy_half_diagram[illumination],810,114,696,14.074,85.926
CASE_ALL_RUNS,,half_text + noisy_half_diagram[irr_objects],810,107,703,13.21,86.79
CASE_ALL_RUNS,,half_text + noisy_half_diagram[pixel_noise],810,105,705,12.963,87.037
