model,run_id,run_folder,case_label,problem_index,ground_truth,predicted,correct,status
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,25,65°,80,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,26,12,22m,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,29,115°,65,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,30,60°,90,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,32,76°,76,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,34,80°,80,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,36,20°,40,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,37,25°,130,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,38,40°,70,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,40,50°,50,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,43,40°,80,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,44,9m,30,0,OK_AFTER_PARTIAL_PARSE
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,45,70°,70,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,46,110°,70,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,48,130°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,49,100°,65,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,50,140°,50,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,53,55°,55,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,55,55°,55,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,56,40°,20,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,57,20°,20,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,58,55°,55,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,59,50°,60,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,60,45°,45,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,64,40cm,40,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,72,8cm,8,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,73,140°,140,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,78,125°,70,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,79,16cm,16,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,81,25°,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,84,√{3},1,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,86,2√{3},2,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,88,128°,116,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,95,30°,30,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,99,64°,26,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,108,8m,8,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,109,40°,50,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,112,2.4,1.25,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,114,\frac{1}{2}cm^{2},1/2,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,115,4πcm,12π,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,117,2√{2}cm,6 cm,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,119,240cm^{2},240,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,120,9πcm^{2},10,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,123,15π,15π,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,128,4cm,6√3,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,132,10.2m,-1.92,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,133,120m,100.0,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,149,\frac{20}{3},8.66,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,150,\frac{40}{7}m,40/7,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,151,5.1,6.8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,152,4m,2.4,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,153,1.5m,2.2,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,157,\frac{3}{5},4/5,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,165,\frac{√{3}}{2},opposite/hypotenuse,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,198,60,60,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,207,157.1,157.1,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,210,15,15,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,211,38,15.4,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,223,\sqrt{7},√7,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,239,8,12,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,243,1591,73.8x,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,257,15,3.75,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,264,60,60,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,281,0.38,0.69,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,327,11.8,15.97,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,348,285,286,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,364,74.85,74.85,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,365,23.9,65.5,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,420,8,10,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,432,8.246,9.165,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,((x - (-3))^2 / (-5√2)^2) - (y - (-3))^2 / ((-3+5√2)^2) = 1,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,441,$\frac{4}{5}$,4/5,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,447,$\frac{20}{29}$,20/29,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,449,$\frac{1}{x}$,1,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,457,$(x-1)^{2}+(y-3)^{2}=36$,(x - 1)^2 + (y - 3)^2 = 36,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,472,"(0,0)","(0, 0)",1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,1,140°,80,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,2,65°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,3,55°,70,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,4,27°,96,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,7,45°,45,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,8,3cm,5.0,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,9,6cm,9,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,10,72°,90,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,11,84°,36,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,14,55°,55,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,16,25°,25,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,17,65°,65,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,20,20°,40,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,22,62°,28,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,25,65°,80,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,26,12,22m,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,29,115°,65,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,30,60°,90,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,32,76°,76,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,34,80°,80,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,36,20°,60,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,37,25°,130,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,38,40°,70,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,40,50°,50,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,43,40°,80,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,44,9m,3.3,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,45,70°,70,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,46,110°,70,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,48,130°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,49,100°,80,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,50,140°,50,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,53,55°,55,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,55,55°,55,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,56,40°,40,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,57,20°,20,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,58,55°,55,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,59,50°,60,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,60,45°,45,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,64,40cm,40,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,72,8cm,16,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,73,140°,70,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,78,125°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,79,16cm,16,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,81,25°,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,84,√{3},1,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,86,2√{3},2,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,88,128°,106,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,95,30°,30,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,99,64°,26,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,108,8m,8,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,109,40°,50,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,112,2.4,1.25,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,114,\frac{1}{2}cm^{2},1/2,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,115,4πcm,12π,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,117,2√{2}cm,2.83,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,119,240cm^{2},240,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,120,9πcm^{2},9π,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,123,15π,15π,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,128,4cm,4,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,132,10.2m,9.6,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,133,120m,100.0,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,149,\frac{20}{3},8.66,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,150,\frac{40}{7}m,40/7,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,151,5.1,6.8,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,152,4m,2.4,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,153,1.5m,1.5,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,157,\frac{3}{5},4/5,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,165,\frac{√{3}}{2},opposite/hypotenuse,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,198,60,30,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,207,157.1,157.1,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,210,15,15,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,211,38,36,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,223,\sqrt{7},4,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,239,8,12,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,243,1591,73.8x,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,257,15,3.75,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,264,60,60,1,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,281,0.38,0.69,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,327,11.8,10.67,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,348,285,313,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,364,74.85,74.85,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,365,23.9,65.5,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,420,8,10,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,432,8.246,9.165,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,((x - (-3))^2 / (-5√2)^2) - (y - (-3))^2 / ((-3+5√2)^2) = 1,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,441,$\frac{4}{5}$,4/5,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,447,$\frac{20}{29}$,20/29,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,449,$\frac{1}{x}$,1,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,457,$(x-1)^{2}+(y-3)^{2}=36$,(x - 1)^2 + (y - 3)^2 = 36,0,OK
google/gemma-3-4b-it,run-2,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,472,"(0,0)","(0, 0)",1,OK
google/gemma-3-4b-it,run-3,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,1,140°,80,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,2,65°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-3,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,3,55°,70,0,OK
google/gemma-3-4b-it,run-3,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,4,27°,96,0,OK
google/gemma-3-4b-it,run-3,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,7,45°,35,0,OK
google/gemma-3-4b-it,run-3,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,8,3cm,5.0,0,OK
google/gemma-3-4b-it,run-3,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,9,6cm,9,0,OK
google/gemma-3-4b-it,run-3,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,10,72°,90,0,OK
google/gemma-3-4b-it,run-3,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,11,84°,36,0,OK
