kind,model,run,case_label,total,correct,wrong,accuracy_pct,wrong_pct,runs_count,avg_accuracy_pct,min_accuracy_pct,max_accuracy_pct,accuracy_spread_pct,best_run,best_run_accuracy_pct,worst_run,worst_run_accuracy_pct
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + noisy_half_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + noisy_half_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,full_text + full_diagram,90,27,63,30.0,70.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,half_text + noisy_half_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-2,half_text + noisy_half_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,full_text + full_diagram,90,27,63,30.0,70.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,half_text + noisy_half_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-3,half_text + noisy_half_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,full_text + full_diagram,90,47,43,52.222,47.778,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,half_text + noisy_half_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-1,half_text + noisy_half_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,full_text + full_diagram,90,45,45,50.0,50.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,half_text + noisy_half_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-2,half_text + noisy_half_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,full_text + full_diagram,90,47,43,52.222,47.778,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,half_text + noisy_half_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,meta-llama/llama-4-scout,run-3,half_text + noisy_half_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,full_text + full_diagram,90,22,68,24.444,75.556,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,half_text + noisy_half_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-1,half_text + noisy_half_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,full_text + full_diagram,90,25,65,27.778,72.222,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,half_text + noisy_half_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-2,half_text + noisy_half_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,full_text + full_diagram,90,24,66,26.667,73.333,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,noisy_half_text[numeric] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,noisy_half_text[punctuation] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,noisy_half_text[sentence] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,noisy_half_text[typo] + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,half_text + noisy_half_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,half_text + noisy_half_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,mistralai/mistral-small-3.2-24b-instruct,run-3,half_text + noisy_half_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
