run_folder,case_label,problem_index,ground_truth,predicted,correct,status
run-1-llama,full_text + full_diagram,210,15,12 units,0,OK
run-1-llama,full_text + full_diagram,211,38,38°,1,OK
run-1-llama,full_text + full_diagram,223,\sqrt{7},5,0,OK
run-1-llama,full_text + full_diagram,239,8,7,0,OK
run-1-llama,full_text + full_diagram,243,1591,150x + 91,0,OK
run-1-llama,full_text + full_diagram,257,15,12 units,0,OK
run-1-llama,full_text + full_diagram,264,60,10x,0,OK
run-1-llama,full_text + full_diagram,281,0.38,0.38,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,327,11.8,10.7,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,348,285,198,0,OK
run-1-llama,full_text + full_diagram,364,74.85,65.90,0,OK
run-1-llama,full_text + full_diagram,365,23.9,90.0,0,OK
run-1-llama,full_text + full_diagram,420,8,10,0,OK
run-1-llama,full_text + full_diagram,432,8.246,14,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,Equation has measure ?,0,OK
run-1-llama,full_text + full_diagram,441,$\frac{4}{5}$,sin(a) = y,0,OK
run-1-llama,full_text + full_diagram,447,$\frac{20}{29}$,20/29,0,OK
run-1-llama,full_text + full_diagram,449,$\frac{1}{x}$,1,0,OK
run-1-llama,full_text + full_diagram,457,$(x-1)^{2}+(y-3)^{2}=36$,(x-6)^2 + (y-6)^2 = 36,0,OK
run-1-llama,full_text + full_diagram,472,"(0,0)",B,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],1,140°,80,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],2,65°,50 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],3,55°,70,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],4,27°,36_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],7,45°,35 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],8,3cm,5.0_units,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],9,6cm,AC = BC = 6.0_units,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],10,72°,36_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],11,84°,36 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],14,55°,unknown,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],16,25°,50 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],17,65°,42_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],20,20°,140 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],22,62°,28 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],25,65°,50 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],26,12,22m,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],29,115°,50_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],30,60°,30 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],32,76°,52 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],34,80°,100 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],36,20°,BAC,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],37,25°,50_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],38,40°,70_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],40,50°,50_deg,1,OK
run-1-llama,full_text + noisy_diagram[bg_change],43,40°,30_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],44,9m,30_units,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],45,70°,35 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],46,110°,70,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],48,130°,100 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],49,100°,35_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],50,140°,90 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],53,55°,BFD,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],55,55°,3,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],56,40°,20 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],57,20°,20 degrees,1,OK
run-1-llama,full_text + noisy_diagram[bg_change],58,55°,90,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],59,50°,80 degrees,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],60,45°,135°,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],64,40cm,200 units,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],72,8cm,16 units,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],73,140°,70,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],78,125°,70,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],79,16cm,32,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],81,25°,90_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],84,√{3},1,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],86,2√{3},2.0,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],88,128°,60,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],95,30°,60_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],99,64°,26_deg,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],108,8m,8 units,1,OK
run-1-llama,full_text + noisy_diagram[bg_change],109,40°,130,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],112,2.4,0.7,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],114,\frac{1}{2}cm^{2},0.785,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],115,4πcm,4 * pi,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],117,2√{2}cm,The height of the cone is not explicitly stated in the provided triples.,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],119,240cm^{2},The area of the sector cardboard is 576π.,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],120,9πcm^{2},9,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],123,15π,6π,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],128,4cm,6,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],132,10.2m,12.0,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],133,120m,120.0_m,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],149,\frac{20}{3},16.0_units,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],150,\frac{40}{7}m,7/3,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],151,5.1,20.0,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],152,4m,2.1,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],153,1.5m,1.8 units,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],157,\frac{3}{5},4/5,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],165,\frac{√{3}}{2},1/2,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],198,60,60,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],207,157.1,57.1,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],210,15,12,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],211,38,38_deg,1,OK
run-1-llama,full_text + noisy_diagram[bg_change],223,\sqrt{7},√7,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],239,8,7,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],243,1591,"The distance from Phoenix to Atlanta is 150x + 91 miles, and we know the total trip distance is 3482 miles. We also know the distance from Des Moines to Phoenix is 110x + 53 and the distance from Atlanta to Des Moines is 73.8x.  Let's solve for x.  We have: (110x + 53) + (150x + 91) + (73.8x) = 3482.  Combining like terms, we get 433.8x + 144 = 3482.  Subtracting 144 from both sides, we get 433.8x = 3338.  Dividing by 433.8, we get x = 7.71.  Therefore, the distance from Phoenix to Atlanta is 150 * 7.71 + 91 = 1156.5 + 91 = 1247.5 miles.  Rounding to the nearest mile, the distance is 1248 miles.",0,OK
run-1-llama,full_text + noisy_diagram[bg_change],257,15,16,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],264,60,10x,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],281,0.38,0.90,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],327,11.8,d = 10.7,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],348,285,199,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],364,74.85,65.90,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],365,23.9,0.0,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],420,8,10_cm,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],432,8.246,√[(-3+5)^2 + (4-2)^2],0,OK
run-1-llama,full_text + noisy_diagram[bg_change],438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,x^2 - 9x + 18 = 0,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[bg_change],441,$\frac{4}{5}$,4/5,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],447,$\frac{20}{29}$,1,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],449,$\frac{1}{x}$,1,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],457,$(x-1)^{2}+(y-3)^{2}=36$,The equation is (x-0)^2 + (y-0)^2 = 6^2,0,OK
run-1-llama,full_text + noisy_diagram[bg_change],472,"(0,0)","0, 7",0,OK
run-1-llama,full_text + noisy_diagram[blur],1,140°,60 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],2,65°,50 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],3,55°,70,0,OK
run-1-llama,full_text + noisy_diagram[blur],4,27°,36 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],7,45°,35 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],8,3cm,7.0,0,OK
run-1-llama,full_text + noisy_diagram[blur],9,6cm,3∞3,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],10,72°,36 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],11,84°,36 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],14,55°,The degree of angle ACB cannot be determined from the given triples.,0,OK
run-1-llama,full_text + noisy_diagram[blur],16,25°,50 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],17,65°,65 degrees,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],20,20°,140,0,OK
run-1-llama,full_text + noisy_diagram[blur],22,62°,28 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],25,65°,50_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],26,12,22m,0,OK
run-1-llama,full_text + noisy_diagram[blur],29,115°,50 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],30,60°,30_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],32,76°,52_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],34,80°,100 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],36,20°,Unknown,0,OK
run-1-llama,full_text + noisy_diagram[blur],37,25°,50_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],38,40°,70_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],40,50°,50 degrees,1,OK
run-1-llama,full_text + noisy_diagram[blur],43,40°,30_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],44,9m,30_units,0,OK
run-1-llama,full_text + noisy_diagram[blur],45,70°,35 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],46,110°,70,0,OK
run-1-llama,full_text + noisy_diagram[blur],48,130°,100 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],49,100°,35_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],50,140°,E,0,OK
run-1-llama,full_text + noisy_diagram[blur],53,55°,BFD,0,OK
run-1-llama,full_text + noisy_diagram[blur],55,55°,2,0,OK
run-1-llama,full_text + noisy_diagram[blur],56,40°,20 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],57,20°,20 degrees,1,OK
run-1-llama,full_text + noisy_diagram[blur],58,55°,90,0,OK
run-1-llama,full_text + noisy_diagram[blur],59,50°,80_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],60,45°,135_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],64,40cm,200,0,OK
run-1-llama,full_text + noisy_diagram[blur],72,8cm,16,0,OK
run-1-llama,full_text + noisy_diagram[blur],73,140°,70,0,OK
run-1-llama,full_text + noisy_diagram[blur],78,125°,70 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],79,16cm,16,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],81,25°,50 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],84,√{3},1.0,0,OK
run-1-llama,full_text + noisy_diagram[blur],86,2√{3},2,0,OK
run-1-llama,full_text + noisy_diagram[blur],88,128°,60,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],95,30°,90_deg,0,OK
run-1-llama,full_text + noisy_diagram[blur],99,64°,26 degrees,0,OK
run-1-llama,full_text + noisy_diagram[blur],108,8m,8 units,1,OK
run-1-llama,full_text + noisy_diagram[blur],109,40°,130,0,OK
run-1-llama,full_text + noisy_diagram[blur],112,2.4,2.5,0,OK
run-1-llama,full_text + noisy_diagram[blur],114,\frac{1}{2}cm^{2},1.0,0,OK
run-1-llama,full_text + noisy_diagram[blur],115,4πcm,4 * pi,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],117,2√{2}cm,Unknown,0,OK
run-1-llama,full_text + noisy_diagram[blur],119,240cm^{2},The area of the sector cardboard is 150 cm².,0,OK
run-1-llama,full_text + noisy_diagram[blur],120,9πcm^{2},5π,0,OK
run-1-llama,full_text + noisy_diagram[blur],123,15π,Cannot be determined,0,OK
run-1-llama,full_text + noisy_diagram[blur],128,4cm,12,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],132,10.2m,1.6,0,OK
run-1-llama,full_text + noisy_diagram[blur],133,120m,60.0_m,0,OK
run-1-llama,full_text + noisy_diagram[blur],149,\frac{20}{3},10.0_units,0,OK
run-1-llama,full_text + noisy_diagram[blur],150,\frac{40}{7}m,BC,0,OK
run-1-llama,full_text + noisy_diagram[blur],151,5.1,1.7_units,0,OK
run-1-llama,full_text + noisy_diagram[blur],152,4m,3.0,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],153,1.5m,1.8 units,0,OK
run-1-llama,full_text + noisy_diagram[blur],157,\frac{3}{5},4/5,0,OK
run-1-llama,full_text + noisy_diagram[blur],165,\frac{√{3}}{2},1/2,0,OK
run-1-llama,full_text + noisy_diagram[blur],198,60,60,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],207,157.1,62.8,0,OK
run-1-llama,full_text + noisy_diagram[blur],210,15,12 units,0,OK
run-1-llama,full_text + noisy_diagram[blur],211,38,38_deg,1,OK
run-1-llama,full_text + noisy_diagram[blur],223,\sqrt{7},√7,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],239,8,4 units,0,OK
run-1-llama,full_text + noisy_diagram[blur],243,1591,150x + 91,0,OK
run-1-llama,full_text + noisy_diagram[blur],257,15,17,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],264,60,10x,0,OK
run-1-llama,full_text + noisy_diagram[blur],281,0.38,0.38,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],327,11.8,10.7,0,OK
run-1-llama,full_text + noisy_diagram[blur],348,285,198,0,OK
run-1-llama,full_text + noisy_diagram[blur],364,74.85,65.9 m,0,OK
run-1-llama,full_text + noisy_diagram[blur],365,23.9,90.0,0,OK
run-1-llama,full_text + noisy_diagram[blur],420,8,6 cm,0,OK
run-1-llama,full_text + noisy_diagram[blur],432,8.246,2ε,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,The equation of the hyperbola is not explicitly provided in the given triples.,0,OK
run-1-llama,full_text + noisy_diagram[blur],441,$\frac{4}{5}$,Cannot be determined,0,OK
run-1-llama,full_text + noisy_diagram[blur],447,$\frac{20}{29}$,1,0,OK
run-1-llama,full_text + noisy_diagram[blur],449,$\frac{1}{x}$,1,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[blur],457,$(x-1)^{2}+(y-3)^{2}=36$,(x-0)^2 + (y-0)^2 = 6^2,0,OK
run-1-llama,full_text + noisy_diagram[blur],472,"(0,0)",C,0,OK
run-1-llama,full_text + noisy_diagram[illumination],1,140°,60 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],2,65°,50 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],3,55°,70 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],4,27°,36 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],7,45°,35 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],8,3cm,7.0,0,OK
run-1-llama,full_text + noisy_diagram[illumination],9,6cm,12.0_units,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[illumination],10,72°,90,0,OK
run-1-llama,full_text + noisy_diagram[illumination],11,84°,36_deg,0,OK
run-1-llama,full_text + noisy_diagram[illumination],14,55°,35_deg,0,OK
run-1-llama,full_text + noisy_diagram[illumination],16,25°,50,0,OK
run-1-llama,full_text + noisy_diagram[illumination],17,65°,65_deg,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[illumination],20,20°,140 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],22,62°,28 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],25,65°,50 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],26,12,8m,0,OK
run-1-llama,full_text + noisy_diagram[illumination],29,115°,unknown,0,OK
run-1-llama,full_text + noisy_diagram[illumination],30,60°,30_deg,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[illumination],32,76°,52 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],34,80°,100 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],36,20°,Unknown,0,OK
run-1-llama,full_text + noisy_diagram[illumination],37,25°,50_deg,0,OK
run-1-llama,full_text + noisy_diagram[illumination],38,40°,Cannot be determined.,0,OK
run-1-llama,full_text + noisy_diagram[illumination],40,50°,50 degrees,1,OK
run-1-llama,full_text + noisy_diagram[illumination],43,40°,30_deg,0,OK
run-1-llama,full_text + noisy_diagram[illumination],44,9m,30_units,0,OK
run-1-llama,full_text + noisy_diagram[illumination],45,70°,35 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],46,110°,70,0,OK
run-1-llama,full_text + noisy_diagram[illumination],48,130°,100 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],49,100°,35,0,OK
run-1-llama,full_text + noisy_diagram[illumination],50,140°,50_deg,0,OK
run-1-llama,full_text + noisy_diagram[illumination],53,55°,55,1,OK
run-1-llama,full_text + noisy_diagram[illumination],55,55°,70,0,OK
run-1-llama,full_text + noisy_diagram[illumination],56,40°,20 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],57,20°,20 degrees,1,OK
run-1-llama,full_text + noisy_diagram[illumination],58,55°,90_deg,0,OK
run-1-llama,full_text + noisy_diagram[illumination],59,50°,80_deg,0,OK
run-1-llama,full_text + noisy_diagram[illumination],60,45°,135°,0,OK
run-1-llama,full_text + noisy_diagram[illumination],64,40cm,200,0,OK
run-1-llama,full_text + noisy_diagram[illumination],72,8cm,8,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[illumination],73,140°,70 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],78,125°,70 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],79,16cm,32,0,OK
run-1-llama,full_text + noisy_diagram[illumination],81,25°,50,0,OK
run-1-llama,full_text + noisy_diagram[illumination],84,√{3},1.0,0,OK
run-1-llama,full_text + noisy_diagram[illumination],86,2√{3},2,0,OK
run-1-llama,full_text + noisy_diagram[illumination],88,128°,22 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],95,30°,90_deg,0,OK
run-1-llama,full_text + noisy_diagram[illumination],99,64°,26 degrees,0,OK
run-1-llama,full_text + noisy_diagram[illumination],108,8m,5 units,0,OK
run-1-llama,full_text + noisy_diagram[illumination],109,40°,90,0,OK
run-1-llama,full_text + noisy_diagram[illumination],112,2.4,2.5_units,0,OK
run-1-llama,full_text + noisy_diagram[illumination],114,\frac{1}{2}cm^{2},The area of the shaded part is the area of a semicircle.,0,OK
run-1-llama,full_text + noisy_diagram[illumination],115,4πcm,12π,0,OK
run-1-llama,full_text + noisy_diagram[illumination],117,2√{2}cm,3 cm,0,OK
run-1-llama,full_text + noisy_diagram[illumination],119,240cm^{2},The area of the sector cardboard is 24 units.,0,OK
run-1-llama,full_text + noisy_diagram[illumination],120,9πcm^{2},21π,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[illumination],123,15π,15π,1,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[illumination],128,4cm,6,0,OK
run-1-llama,full_text + noisy_diagram[illumination],132,10.2m,12.0 units,0,OK
run-1-llama,full_text + noisy_diagram[illumination],133,120m,80.0_m,0,OK
run-1-llama,full_text + noisy_diagram[illumination],149,\frac{20}{3},10.0,0,OK
run-1-llama,full_text + noisy_diagram[illumination],150,\frac{40}{7}m,7/3,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[illumination],151,5.1,5 units,1,OK
run-1-llama,full_text + noisy_diagram[illumination],152,4m,2.1,0,OK
run-1-llama,full_text + noisy_diagram[illumination],153,1.5m,1.8,0,OK
run-1-llama,full_text + noisy_diagram[illumination],157,\frac{3}{5},4/5,0,OK
run-1-llama,full_text + noisy_diagram[illumination],165,\frac{√{3}}{2},1/2,0,OK
run-1-llama,full_text + noisy_diagram[illumination],198,60,13 * 13 / 2,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[illumination],207,157.1,200π,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + noisy_diagram[illumination],210,15,12 units,0,OK
run-1-llama,full_text + noisy_diagram[illumination],211,38,38_deg,1,OK
