kind,run_folder,case_label,total,correct,wrong,accuracy_pct,wrong_pct
RUN_CASE,run-2-llama,full_text + noisy_diagram[illumination],90,7,83,7.778,92.222
RUN_CASE,run-2-llama,full_text + noisy_diagram[irr_objects],90,8,82,8.889,91.111
RUN_CASE,run-2-llama,full_text + noisy_diagram[pixel_noise],90,6,84,6.667,93.333
RUN_CASE,run-2-llama,noisy_half_text[numeric] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,run-2-llama,noisy_half_text[punctuation] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,run-2-llama,noisy_half_text[sentence] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,run-2-llama,noisy_half_text[typo] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[bg_change],90,6,84,6.667,93.333
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[blur],90,6,84,6.667,93.333
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[illumination],90,7,83,7.778,92.222
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[irr_objects],90,7,83,7.778,92.222
RUN_CASE,run-2-llama,half_text + noisy_half_diagram[pixel_noise],90,4,86,4.444,95.556
RUN_CASE,run-3-llama,full_text + full_diagram,90,5,85,5.556,94.444
RUN_CASE,run-3-llama,half_text + half_diagram,90,3,87,3.333,96.667
RUN_CASE,run-3-llama,noisy_text[numeric] + full_diagram,90,4,86,4.444,95.556
RUN_CASE,run-3-llama,noisy_text[punctuation] + full_diagram,90,8,82,8.889,91.111
RUN_CASE,run-3-llama,noisy_text[sentence] + full_diagram,90,5,85,5.556,94.444
RUN_CASE,run-3-llama,noisy_text[typo] + full_diagram,90,6,84,6.667,93.333
RUN_CASE,run-3-llama,full_text + noisy_diagram[bg_change],90,9,81,10.0,90.0
RUN_CASE,run-3-llama,full_text + noisy_diagram[blur],90,10,80,11.111,88.889
RUN_CASE,run-3-llama,full_text + noisy_diagram[illumination],90,8,82,8.889,91.111
RUN_CASE,run-3-llama,full_text + noisy_diagram[irr_objects],90,4,86,4.444,95.556
RUN_CASE,run-3-llama,full_text + noisy_diagram[pixel_noise],90,6,84,6.667,93.333
RUN_CASE,run-3-llama,noisy_half_text[numeric] + half_diagram,90,4,86,4.444,95.556
RUN_CASE,run-3-llama,noisy_half_text[punctuation] + half_diagram,90,5,85,5.556,94.444
RUN_CASE,run-3-llama,noisy_half_text[sentence] + half_diagram,90,7,83,7.778,92.222
RUN_CASE,run-3-llama,noisy_half_text[typo] + half_diagram,90,6,84,6.667,93.333
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[bg_change],90,7,83,7.778,92.222
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[blur],90,5,85,5.556,94.444
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[illumination],90,4,86,4.444,95.556
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[irr_objects],90,5,85,5.556,94.444
RUN_CASE,run-3-llama,half_text + noisy_half_diagram[pixel_noise],90,4,86,4.444,95.556
CASE_ALL_RUNS,,full_text + full_diagram,270,17,253,6.296,93.704
CASE_ALL_RUNS,,half_text + half_diagram,270,14,256,5.185,94.815
CASE_ALL_RUNS,,noisy_text[numeric] + full_diagram,270,12,258,4.444,95.556
CASE_ALL_RUNS,,noisy_text[punctuation] + full_diagram,270,23,247,8.519,91.481
CASE_ALL_RUNS,,noisy_text[sentence] + full_diagram,270,19,251,7.037,92.963
CASE_ALL_RUNS,,noisy_text[typo] + full_diagram,270,19,251,7.037,92.963
CASE_ALL_RUNS,,full_text + noisy_diagram[bg_change],270,19,251,7.037,92.963
CASE_ALL_RUNS,,full_text + noisy_diagram[blur],270,25,245,9.259,90.741
CASE_ALL_RUNS,,full_text + noisy_diagram[illumination],270,23,247,8.519,91.481
CASE_ALL_RUNS,,full_text + noisy_diagram[irr_objects],270,15,255,5.556,94.444
CASE_ALL_RUNS,,full_text + noisy_diagram[pixel_noise],270,19,251,7.037,92.963
CASE_ALL_RUNS,,noisy_half_text[numeric] + half_diagram,270,13,257,4.815,95.185
CASE_ALL_RUNS,,noisy_half_text[punctuation] + half_diagram,270,15,255,5.556,94.444
CASE_ALL_RUNS,,noisy_half_text[sentence] + half_diagram,270,19,251,7.037,92.963
CASE_ALL_RUNS,,noisy_half_text[typo] + half_diagram,270,18,252,6.667,93.333
CASE_ALL_RUNS,,half_text + noisy_half_diagram[bg_change],270,19,251,7.037,92.963
CASE_ALL_RUNS,,half_text + noisy_half_diagram[blur],270,16,254,5.926,94.074
CASE_ALL_RUNS,,half_text + noisy_half_diagram[illumination],270,17,253,6.296,93.704
CASE_ALL_RUNS,,half_text + noisy_half_diagram[irr_objects],270,20,250,7.407,92.593
CASE_ALL_RUNS,,half_text + noisy_half_diagram[pixel_noise],270,17,253,6.296,93.704
